Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GPBUMDA,heart,2,(((L*R)+(L+(L*((L+(L*R))*R))))+(((L+(L*R))+((L*R)*R))+(L*R))),0.0,84.07407407407408,84.07407407407408,84.07407407407408,84.44444444444444,85.92592592592592,85.92592592592592,85.92592592592592,85.92592592592592,85.92592592592592,85.92592592592592,85.92592592592592,85.92592592592592,85.92592592592592,87.40740740740742,0.0,3.323500738951936,0.18766292107260715,0.24177055011886503,0.15498219070270502,0.20147545843238737,0.37599653315554515,0.4182906531067501,0.4368845131626602,0.4520017133307873,0.36657156208021946,0.3330392248916708,0.3012622093750787,0.31113627360566715,0.29893006244561954,
GPBUMDA,heart,1,(R+L),0.0,84.07407407407408,84.07407407407408,84.07407407407408,84.07407407407408,84.07407407407408,84.07407407407408,84.07407407407408,84.44444444444444,84.44444444444444,84.44444444444444,84.44444444444444,85.18518518518519,85.18518518518519,85.18518518518519,0.0,4.675284609570275,0.6264424498948592,0.4265088086229673,0.38336971607084164,0.3367174804918109,0.26937398439344645,0.17958265626229727,0.18706526693989325,0.20641700754160092,0.18706526693989353,0.1437362573669618,0.17722891550741834,0.146628624832088,0.20299813900284783,
GPEDA,heart,2,(L+(L*(L*R))),0.0,84.07407407407408,84.07407407407408,84.07407407407408,84.07407407407408,84.07407407407408,85.55555555555556,85.55555555555556,85.92592592592592,85.92592592592592,85.92592592592592,85.92592592592592,85.92592592592592,85.92592592592592,85.92592592592592,0.0,0.4319223625801354,0.258305122588663,0.277159806434008,0.1814436846439946,0.07257747380722175,2.132480599880018E-6,0.41745193491706206,0.37944439927050483,0.39363941498822236,0.37007395546554445,0.3429877600813661,0.29777409247163195,0.3198078984339815,0.296296296287035,
GP,heart,2,(L+((R*L)*L)),0.0,85.18518518518519,85.18518518518519,85.18518518518519,85.18518518518519,85.18518518518519,85.55555555555556,85.55555555555556,85.55555555555556,85.55555555555556,85.55555555555556,85.55555555555556,85.55555555555556,85.55555555555556,85.55555555555556,0.0,10.275716176283169,1.4090438828953422,0.49932739397007064,0.6542045086152842,0.6190394789853256,0.6190394789853256,0.6190394789853256,0.6115486649031072,0.5054436180495997,0.2583051225833815,0.20634649299388422,0.12744185578541126,0.12035612448848802,0.12035612448848802,
GPEDA,heart,1,(R+L),0.0,83.70370370370371,83.70370370370371,84.07407407407409,84.07407407407409,84.44444444444443,84.44444444444443,84.44444444444443,84.44444444444443,84.44444444444444,84.44444444444444,84.44444444444444,84.44444444444444,84.44444444444444,84.44444444444444,0.0,0.549148236832489,0.41797736235812255,0.2962962962993132,0.19542082901121816,0.1481481481488892,0.2314148052051105,0.258305122581621,0.2787390773645846,0.30143688813630526,0.3142696805216915,0.2826486522606809,0.18384701697628633,0.17777777777580214,0.1481481481550283,
GPEDA,heart,3,L,0.0,84.07407407407406,84.07407407407409,84.44444444444446,84.44444444444446,85.55555555555557,85.55555555555557,85.55555555555557,85.55555555555557,85.55555555555557,85.55555555555557,85.55555555555557,85.55555555555557,85.55555555555557,85.55555555555557,0.0,0.5353869925900981,0.5312717356193066,0.49712479215680067,0.36709664276851994,0.26666666665858735,0.30143688815440844,0.36106837355488497,0.40734006178607146,0.47453681121193003,0.4904576402272997,0.4949123878172335,0.48821502381250564,0.48005486655586815,0.4100252593590046,
GP,heart,4,(L+(R*(((((L*((L*R)+(P*L)))+(P*L))*R)+(P*(R+L)))*R))),0.0,84.44444444444444,84.81481481481481,84.81481481481481,84.81481481481481,84.81481481481482,84.81481481481482,85.18518518518518,85.18518518518518,85.18518518518518,85.18518518518518,85.18518518518519,85.18518518518519,85.18518518518519,85.18518518518519,0.0,9.019704082085708,2.614552499695419,0.26251918735466595,0.37770514915329856,0.2977740924792677,0.2977740924792677,0.2977740924792677,0.2977740924792677,0.2977740924792677,0.2666666666756404,0.2666666666756404,0.17777777779626577,0.16497079595714845,0.10047896274026227,
GPBUMDA,heart,5,L,0.0,83.33333333333333,83.7037037037037,83.7037037037037,83.7037037037037,83.7037037037037,84.81481481481481,84.81481481481481,84.81481481481481,84.81481481481481,84.81481481481481,84.81481481481481,84.81481481481481,84.81481481481481,84.81481481481481,0.0,4.729009948240559,0.9018020534322586,0.48168488954651567,0.5639823904702945,0.43605070213014613,0.3859895851601772,0.3579942454601819,0.3200073858654974,0.31648878101185657,0.34363029046223786,0.353271159351366,0.3771859280856454,0.37681464545989674,0.35445783101484274,
GPEDA,heart,5,L,0.0,83.33333333333333,83.33333333333333,83.33333333333333,83.7037037037037,83.7037037037037,83.7037037037037,83.7037037037037,83.7037037037037,83.7037037037037,83.7037037037037,83.7037037037037,83.7037037037037,84.07407407407406,84.07407407407406,0.0,2.810757309507042,0.49000993803968723,0.5594431878130436,0.40948962847673837,0.33325101863393614,0.26251918734773694,0.1714938800546044,0.17276894503258058,0.18503697773645864,0.18384701698123335,0.1727689450352127,0.12035612450360142,1.6518123698891422E-6,0.10047896272215909,
GPBUMDA,heart,3,((((R*L)*(R*R))+(P+(P+L)))+(P+((((R*L)+P)*(R*R))+(P+(L+L))))),0.0,83.70370370370371,84.07407407407408,84.44444444444446,84.44444444444446,84.44444444444446,84.44444444444446,84.44444444444446,84.81481481481481,84.81481481481481,85.18518518518519,85.18518518518519,85.18518518518519,85.18518518518519,85.18518518518519,0.0,3.0886146763804225,0.4243372615841652,0.3903169578756189,0.5383321076915216,0.39053206781637484,0.3342977224791323,0.2601754412429047,0.29401994861066283,0.26602759380621266,0.22310229090967515,0.3085159417910156,0.3230547294156251,0.32965974400029946,0.3449313089935415,
GP,heart,1,((R*R)+L),0.0,83.70370370370371,83.70370370370371,83.70370370370371,84.07407407407408,84.07407407407408,84.07407407407408,84.07407407407408,84.07407407407408,84.81481481481481,84.81481481481481,84.81481481481481,84.81481481481481,84.81481481481481,84.81481481481481,0.0,9.626780205205597,0.4913518207921484,0.4359685620584003,0.3759578530448342,0.4068008953338031,0.4257809737196509,0.2461221885312502,0.13578002058084418,0.13578002058084418,0.25830512257281846,0.34234725950223116,0.3259259259229241,0.31635787413170374,0.31635787413170374,
GP,heart,3,((((R*R)+L)+L)+L),0.0,84.07407407407406,84.44444444444446,84.44444444444446,84.81481481481482,84.81481481481482,84.81481481481482,84.81481481481482,84.81481481481482,84.81481481481482,84.81481481481482,84.81481481481482,84.81481481481482,84.81481481481482,84.81481481481482,0.0,9.103652472507445,1.3845314361441794,0.43797764441822695,0.42319575872662774,0.573775310550532,0.5161852263733754,0.5161852263733754,0.5123441915805845,0.5123441915805845,0.45081849051148765,0.45081849051148765,0.45081849051148765,0.43039523100557014,0.43039523100557014,
GPEDA,heart,4,L,0.0,84.07407407407406,84.81481481481482,84.81481481481482,84.81481481481482,84.81481481481482,85.18518518518518,85.18518518518518,85.18518518518518,85.18518518518518,85.18518518518518,85.18518518518518,85.18518518518518,85.18518518518518,85.18518518518518,0.0,2.121986283827819,0.15817893706010208,0.3312693299975077,0.2962962962931741,0.30863209860700125,0.2948110924866419,0.2566001196588393,0.2266230895055439,0.1954208290321613,0.18144368466655103,0.16629588386707714,0.17276894504310902,0.18384701698618036,0.18384701698618036,
GPBUMDA,heart,4,L,0.0,84.07407407407406,84.81481481481482,84.81481481481482,84.81481481481482,84.81481481481482,85.55555555555557,85.55555555555557,85.55555555555557,85.55555555555557,85.55555555555557,85.55555555555557,85.55555555555557,85.55555555555557,85.55555555555557,0.0,4.411213186112863,0.12157803302344963,0.25920523733706297,0.2843392057486382,0.2693739843934493,0.2460174973842806,0.37599653315555404,0.41721845485984926,0.4601045075968087,0.4934553400670682,0.5130365127933646,0.5280942273627578,0.5348365770780689,0.542476372919408,
GP,heart,5,L,0.0,83.33333333333333,84.07407407407406,84.07407407407406,84.07407407407406,84.07407407407406,84.07407407407406,84.07407407407406,84.07407407407406,84.07407407407406,84.07407407407406,84.07407407407406,84.07407407407406,84.07407407407406,84.07407407407406,0.0,8.208610688635531,3.2508308529613466,0.573775310550532,0.45662325947449633,0.45662325947449633,0.45662325947449633,0.44345569027722603,0.4768437611647246,0.4121608220168993,0.4121608220168993,0.3936394149812909,0.3397731834434191,0.3397731834434191,0.3397731834434191,
